;Gender;Age;Date_of_birth;Nationality;Municipality;Canton;Salary;Social_matricule;Ethnicity;hair_color;hair_lenght;First_name;Surname
943;M;27;19960613;Luxembourg;Lintgen;Canton Mersch;12116.0;199606135109*;latino;black;short;Alfred;Van Praet
944;F;27;19960724;Brazil;Luxembourg;Canton Luxembourg;3460.0;199607249414*;black;gray;long;Laura;Nogueira
945;F;72;19511209;Portugal;Walferdange;Canton Luxembourg;0.0;195112092149*;white;gray;long;Lúcia;Alves
946;M;33;19900513;Luxembourg;Pétange;Canton Esch;7528.0;199005131137*;latino;brown;short;Honoré;Segers
947;F;46;19770901;Poland;Walferdange;Canton Luxembourg;18645.0;197709012044*;white;gray;short;Natasza;Ścieszka
948;M;40;19830505;Portugal;Heffingen;Canton Mersch;4358.0;198305053651*;white;blond;medium;Sebastião;Pacheco
949;F;59;19640206;Netherlands;Remich;Canton Remich;12788.0;196402064219*;white;black;long;Tara;Spruyt
950;F;24;19990211;Luxembourg;Luxembourg;Canton Luxembourg;3460.0;199902116928*;white;brown;medium;Samira;Chevallier
951;M;23;20000909;Luxembourg;Sanem;Canton Esch;2642.0;200009098692*;white;brown;medium;Davy;Descamps
952;F;76;19470317;Luxembourg;Luxembourg;Canton Luxembourg;0.0;194703177749*;white;gray;long;Lien;Ribeiro
953;M;50;19730507;Luxembourg;Helperknapp;Canton Mersch;6417.0;197305075395*;white;black;short;Maurice;Vranckx
954;M;28;19950310;Luxembourg;Bettendorf;Canton Diekirch;12638.0;199503102659*;white;red;long;Hannes;Van den Bergh
955;F;92;19310301;United States of Ameria;Sanem;Canton Esch;0.0;193103011101*;black;gray;long;Sandra;Valentine
956;M;35;19880318;Luxembourg;Schifflange;Canton Esch;1042.0;198803182188*;white;gray;short;Grégoire;Schepers
957;F;55;19681130;Luxembourg;Esch-sur-Alzette;Canton Esch;1803.0;196811306451*;black;gray;medium;Claire;Raes
958;M;42;19811017;Italy;Lenningen;Canton Remich;19068.0;198110175850*;white;black;medium;Giancarlo;Pinamonte
959;M;24;19991007;Luxembourg;Lac de la Haute-Sûre;Canton Wiltz;1042.0;199910073660*;white;brown;short;Étienne;Dupuy
960;M;40;19831118;Luxembourg;Reckange-sur-Mess;Canton Esch;8483.0;198311188251*;white;brown;short;Tibo;Maes
961;M;40;19830326;Luxembourg;Lintgen;Canton Mersch;3616.0;198303264526*;black;red;medium;Eugène;Nicolas
962;M;45;19781105;Hungary;Bissen;Canton Mersch;6555.0;197811055171*;white;blond;medium;Dániel;Szilágyi
963;F;26;19970124;Luxembourg;Esch-sur-Alzette;Canton Esch;2303.0;199701240370*;white;black;long;Laetitia;Van Dyck
964;M;30;19930102;France;Luxembourg;Canton Luxembourg;2460.0;199301029700*;white;black;long;Julien;Salmon
965;F;52;19711105;Luxembourg;Dudelange;Canton Esch;5453.0;197111053187*;white;black;medium;Dorothée;Mertens
966;F;33;19901208;Spain;Diekirch;Canton Diekirch;2890.0;199012086920*;white;brown;short;Isidora;Palacio
967;F;28;19950428;Luxembourg;Schifflange;Canton Esch;7542.0;199504288150*;latino;black;medium;Marie;Christiaens
968;F;31;19920911;United States of Ameria;Pétange;Canton Esch;4528.0;199209118353*;latino;black;medium;Jane;Love
969;F;44;19790625;Luxembourg;Manternach;Canton Grevenmacher;3380.0;197906250996*;white;black;long;Anne;Buisson
970;M;30;19930223;Spain;Contern;Canton Luxembourg;5708.0;199302238999*;white;red;long;José Mari;Suarez
971;F;83;19401120;Portugal;Ell;Canton Redange;0.0;194011209689*;white;gray;medium;Letícia;Fonseca
972;F;22;20010828;Luxembourg;Luxembourg;Canton Luxembourg;3960.0;200108286186*;white;black;long;Irena;Verschueren
973;F;63;19600615;Luxembourg;Luxembourg;Canton Luxembourg;3460.0;196006159190*;white;brown;medium;Maria;Everaert
974;F;44;19790228;Belgium;Luxembourg;Canton Luxembourg;7460.0;197902282632*;white;black;medium;Christiane;Janssen
975;F;48;19751215;Portugal;Kehlen;Canton Capellen;7207.0;197512159539*;white;black;long;Laura;Moreira
976;F;32;19910521;France;Mertzig;Canton Diekirch;3742.0;199105215231*;white;red;medium;Nicole;Andre
977;M;27;19961014;Luxembourg;Goesdorf;Canton Wiltz;3611.0;199610141894*;white;gray;long;Tuur;Étienne
978;M;72;19510123;Italy;Clervaux;Canton Clervaux;0.0;195101236663*;white;gray;long;Fiorenzo;Alfieri
979;M;31;19921221;Luxembourg;Redange-sur-Attert;Canton Redange;Nan;199212212359*;white;black;medium;Jules;Colas
980;F;55;19680621;Luxembourg;Mersch;Canton Mersch;1055.0;196806211291*;latino;gray;short;Alexandria;Guilbert
981;F;32;19911210;Luxembourg;Esch-sur-Alzette;Canton Esch;7303.0;199112101420*;white;black;medium;Isabelle;Evrard
982;F;72;19511123;Luxembourg;Junglinster;Canton Grevenmacher;0.0;195111232958*;white;gray;short;Hélène;Couturier
983;F;39;19840803;Ukraine;Bettembourg;Canton Esch;4096.0;198408036280*;white;black;medium;Орина;Данькевич
984;M;62;19610525;Luxembourg;Clervaux;Canton Clervaux;2479.0;196105258995*;white;gray;long;Tony;Vranckx
985;F;90;19330310;Luxembourg;Weiler-la-Tour;Canton Luxembourg;0.0;193303107417*;white;gray;medium;Julie;Julien
986;F;36;19871217;Luxembourg;Ettelbruck;Canton Diekirch;3862.0;198712176371*;white;black;medium;Marcella;Pereira
987;F;60;19630912;Portugal;Mertert;Canton Grevenmacher;5008.0;196309122520*;white;black;short;Flor;Anjos
988;F;55;19681205;Luxembourg;Esch-sur-Sûre;Canton Wiltz;8024.0;196812057498*;black;gray;long;Michelle;Legros
989;F;32;19910625;Luxembourg;Dudelange;Canton Esch;6453.0;199106257059*;white;black;short;Philippine;Lievens
990;M;34;19891216;Portugal;Hesperange;Canton Luxembourg;1154.0;198912168761*;white;black;medium;William;Brito
991;M;76;19471006;Poland;Luxembourg;Canton Luxembourg;0.0;194710064382*;white;gray;long;Olgierd;Osipiuk
992;F;66;19571216;Portugal;Differdange;Canton Esch;0.0;195712168320*;white;gray;short;Larissa;Ramos
993;F;37;19861118;Ukraine;Hesperange;Canton Luxembourg;2654.0;198611185451*;white;black;short;Єлисавета;Воблий
994;F;45;19780731;Italy;Lintgen;Canton Mersch;12616.0;197807311578*;white;red;short;Ornella;Malaparte
995;F;36;19870607;Luxembourg;Sandweiler;Canton Luxembourg;8083.0;198706077591*;latino;black;long;Antoinette;Verstraeten
996;F;31;19921005;Luxembourg;Wiltz;Canton Wiltz;3333.0;199210051210*;white;black;long;Adrienne;Neyens
997;F;65;19580525;Luxembourg;Erpeldange-sur-Sûre;Canton Diekirch;0.0;195805253050*;latino;brown;short;Ann;Weber
998;F;67;19560505;Luxembourg;Luxembourg;Canton Luxembourg;0.0;195605055667*;latino;gray;short;Barbara;Lopes
999;M;41;19820930;Luxembourg;Lac de la Haute-Sûre;Canton Wiltz;3042.0;198209301485*;white;black;long;Noël;Hermans
